id,zipcode,latitude,longitude,neighbourhood_cleansed,is_location_exact,bedrooms,room_type,bathrooms,beds,bed_type,accommodates,essentials,wifi,tv,kitchen,oven,cooking basics,heating,washer,host greets you,elevator,family/kid friendly,private living room,coffee maker,dishwasher,reviews_per_month,number_of_reviews,number_of_reviews_ltm,host_is_superhost,host_total_listings,host_identity_verified,host_since_years,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,is_instant_bookable,cancellation_policy,security_deposit,is_agency,cleaning_fee,price,kfold
22564007,75002.0,48.87045,2.33395,Bourse,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1.3,5,5,0,1.0,1,5.33,2,45,2,2,1125,1125,2.0,1125.0,0,1,strict,security_deposit_1,0,40.0,94.0,3
38720628,75018.0,48.89457,2.3454200000000003,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0.15,1,1,0,1.0,1,0.64,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,52.0,59.0,3
43352448,75002.0,48.86876,2.35296,Bourse,1,2.0,Entire home/apt,1.0,5.0,Bed,10,1,1,0,1,1,1,1,0,0,0,1,0,1,0,,0,0,0,86.0,1,4.29,1,1125,3,3,1125,1125,3.0,1125.0,361,1,moderate,security_deposit_1,1,90.0,78.0,3
40334312,75005.0,48.85347,2.34534,Panthéon,1,1.0,Entire home/apt,1.5,3.0,Bed,5,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,0,0,0,2.0,0,1.28,2,1125,1,5,1125,1125,2.1,1125.0,350,1,strict,security_deposit_1,0,70.0,179.0,3
40741951,75116.0,48.87568,2.28607,Passy,1,2.0,Entire home/apt,1.0,2.0,Bed,5,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1.21,6,6,0,2.0,0,0.61,2,1125,2,2,1125,1125,2.0,1125.0,180,1,strict,security_deposit_1,0,90.0,200.0,3
35697655,75018.0,48.89094,2.34427,Buttes-Montmartre,1,0.0,Entire home/apt,1.0,1.0,Bed,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.24,2,2,0,1.0,0,3.89,5,31,5,5,31,31,5.0,31.0,362,0,strict,security_deposit_n,0,,60.0,3
40946917,75007.0,48.85488,2.30653,Palais-Bourbon,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,3.17,15,15,0,1.0,1,0.45,1,1125,1,1,1125,1125,1.0,1125.0,0,1,flexible,security_deposit_0,0,10.0,59.0,3
15045945,75018.0,48.89094,2.35233,Buttes-Montmartre,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.36,16,3,0,1.0,1,8.23,4,1125,4,4,1125,1125,4.0,1125.0,0,0,strict,security_deposit_0,0,20.0,60.0,3
39218417,75116.0,48.86387,2.27114,Passy,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1.38,9,9,0,1.0,1,0.59,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,74.0,3
41850277,75005.0,48.84351,2.34844,Panthéon,1,1.0,Entire home/apt,1.0,1.0,Bed,4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.29,1,1,0,0.0,1,9.81,14,1125,1,14,1125,1125,13.9,1125.0,357,0,flexible,security_deposit_1,0,50.0,98.0,3
43353677,75002.0,48.8654,2.34742,Bourse,1,0.0,Entire home/apt,1.0,2.0,Bed,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.0,1,7.5,3,30,3,3,1125,1125,3.0,1125.0,8,1,flexible,security_deposit_n,0,,70.0,3
41969762,75018.0,48.89165,2.33966,Buttes-Montmartre,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.92,2,2,0,1.0,1,0.27,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,79.0,121.0,3
15447815,75014.0,48.8385,2.32181,Observatoire,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,1,0,1,0,0,1,1,2.57,112,22,1,3.0,1,7.79,2,50,2,2,50,50,2.0,50.0,0,0,strict,security_deposit_1,0,24.0,100.0,3
39694980,75010.0,48.87581,2.35491,Entrepôt,1,1.0,Entire home/apt,1.5,1.0,Bed,2,1,1,0,1,1,1,1,1,0,0,0,1,1,1,3.3,21,21,0,1.0,1,0.53,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,51.0,100.0,3
27019686,75011.0,48.86382,2.3673,Popincourt,0,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0.29,6,2,0,1229.0,1,4.98,3,1125,3,3,3,1125,3.0,869.8,365,1,strict,security_deposit_1,1,130.0,493.0,3
39970091,75017.0,48.88806,2.32066,Batignolles-Monceau,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1.73,10,10,1,1.0,1,5.12,2,1125,2,2,1125,1125,2.0,1125.0,194,0,moderate,security_deposit_n,0,20.0,80.0,3
35556285,75011.0,48.87161,2.37738,Popincourt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1.28,14,14,0,1.0,1,0.92,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,80.0,3
41554421,75009.0,48.87818,2.34174,Opéra,1,1.0,Entire home/apt,1.5,1.0,Bed,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0.65,2,2,0,0.0,1,0.33,2,1125,2,2,1125,1125,2.0,1125.0,31,1,strict,security_deposit_0,0,75.0,80.0,3
35937831,75019.0,48.88226,2.39445,Buttes-Chaumont,1,1.0,Entire home/apt,1.5,1.0,Bed,2,1,1,1,0,1,0,1,1,0,1,0,1,1,0,,0,0,0,1.0,0,0.89,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,51.0,89.0,3
11239911,75009.0,48.87299,2.3444,Opéra,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1.69,79,31,0,9.0,1,6.03,2,1125,2,2,1125,1125,2.0,1125.0,234,0,strict,security_deposit_1,1,30.0,89.0,3
43371763,75009.0,48.8734,2.33889,Opéra,1,3.0,Entire home/apt,1.0,3.0,Bed,6,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,1.0,1,0.39,1,8,1,1,8,8,1.0,8.0,20,1,flexible,security_deposit_1,0,40.0,160.0,3
3592889,75010.0,48.87082,2.37177,Entrepôt,1,3.0,Entire home/apt,2.0,3.0,Bed,5,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0.47,31,7,0,0.0,1,5.83,3,60,3,3,60,60,3.0,60.0,88,0,strict,security_deposit_1,0,100.0,230.0,3
