id,zipcode,latitude,longitude,neighbourhood_cleansed,is_location_exact,bedrooms,room_type,bathrooms,beds,bed_type,accommodates,essentials,wifi,tv,kitchen,oven,cooking basics,heating,washer,host greets you,elevator,family/kid friendly,private living room,coffee maker,dishwasher,reviews_per_month,number_of_reviews,number_of_reviews_ltm,host_is_superhost,host_total_listings,host_identity_verified,host_since_years,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,is_instant_bookable,cancellation_policy,security_deposit,is_agency,cleaning_fee,price
10110662,75003.0,48.86197,2.3628299999999998,Temple,1,1.0,Entire home/apt,0.0,3.0,Bed,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0.04,2,0,0,193.0,1,6.81,3,1125,2,2,1125,1125,2.0,1125.0,277,1,strict,security_deposit_1,1,72.0,147.0
30552515,75018.0,48.88773,2.34986,Buttes-Montmartre,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1.97,33,22,0,1.0,1,1.43,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,45.0,40.0
37272424,75001.0,48.86411,2.3452599999999997,Louvre,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0.43,4,4,0,1.0,1,0.78,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,79.0,126.0
37147613,75014.0,48.83336,2.34167,Gobelins,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1.42,13,13,0,1.0,1,0.79,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,52.0,67.0
39914785,75019.0,48.89798,2.37133,Buttes-Chaumont,1,1.0,Private room,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1.67,10,10,1,0.0,1,10.43,2,15,2,2,15,15,2.0,15.0,67,0,flexible,security_deposit_n,0,,21.0
41165875,75019.0,48.8868,2.38732,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,,0,0,0,0.0,1,6.15,4,28,4,4,1125,1125,4.0,1125.0,31,1,flexible,security_deposit_n,0,,60.0
34309862,75002.0,48.86785,2.34959,Bourse,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0.26,2,2,0,13.0,1,1.41,1,1125,1,4,1125,1125,4.0,1125.0,213,1,strict,security_deposit_0,1,41.0,100.0
40851263,75003.0,48.866640000000004,2.3468400000000003,Bourse,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0.66,3,3,0,1.0,0,0.41,1,1125,1,2,1125,1125,1.3,1125.0,18,0,flexible,security_deposit_1,0,49.0,53.0
14496976,75012.0,48.83916,2.3907700000000003,Reuilly,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.89,40,7,0,18.0,1,7.95,2,1125,2,2,1125,1125,2.0,1125.0,0,1,strict,security_deposit_1,1,60.0,90.0
38150590,75010.0,48.87831,2.36171,Entrepôt,1,1.0,Entire home/apt,1.0,2.0,Bed,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,2.47,19,19,1,0.0,1,9.17,30,60,30,30,60,60,30.0,60.0,61,0,strict,security_deposit_1,0,40.0,70.0
35663539,75009.0,48.8778,2.34328,Opéra,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1.59,17,17,1,1.0,1,0.91,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,78.0
29095650,75015.0,48.85089,2.29126,Vaugirard,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0.42,8,4,1,1.0,1,4.49,3,1125,2,4,1125,1125,3.1,1125.0,0,0,moderate,security_deposit_1,0,30.0,90.0
23623400,75017.0,48.87727,2.28938,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0.52,13,6,0,1.0,1,2.19,5,30,5,5,1125,1125,5.0,1125.0,12,0,strict,security_deposit_1,0,70.0,124.0
25303783,75012.0,48.84603,2.40369,Reuilly,1,2.0,Entire home/apt,2.0,2.0,Bed,6,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1.75,39,0,0,4.0,0,1.97,30,305,30,30,305,305,30.0,305.0,0,0,moderate,security_deposit_1,0,75.0,125.0
32541619,75002.0,48.86442,2.34226,Louvre,1,3.0,Entire home/apt,2.5,4.0,Bed,8,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3.57,42,42,0,20.0,1,2.54,1,1125,1,3,1125,1125,1.6,1125.0,359,1,moderate,security_deposit_1,1,80.0,478.0
29647241,75005.0,48.85218,2.34573,Panthéon,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1.48,27,13,0,1.0,1,1.53,2,1125,2,6,1125,1125,4.7,1125.0,0,1,strict,security_deposit_1,0,55.0,141.0
31983821,75002.0,48.86546,2.35126,Bourse,1,0.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2.65,40,27,0,7.0,1,1.98,5,50,5,5,1125,1125,5.0,1125.0,76,1,flexible,security_deposit_1,1,55.0,100.0
37105042,75002.0,48.86456,2.34813,Bourse,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2.01,19,19,0,2.0,0,0.92,3,1125,3,3,1125,1125,3.0,1125.0,361,0,moderate,security_deposit_0,0,30.0,60.0
22477871,75009.0,48.87238,2.33938,Opéra,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1.46,40,18,0,2.0,1,2.37,2,120,2,2,120,120,2.0,120.0,118,0,flexible,security_deposit_1,0,40.0,120.0
40367483,75018.0,48.89157,2.3483,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0.23,1,1,0,1.0,1,0.46,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,70.0,79.0
20682202,75002.0,48.86636,2.3462400000000003,Bourse,1,0.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,0,1,1,0,0,1,0,0,0,3.81,120,45,0,13.0,1,2.71,2,1125,2,2,1125,1125,2.0,1125.0,314,1,moderate,security_deposit_1,1,75.0,110.0
21524065,75001.0,48.86257,2.34035,Louvre,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,4.03,120,42,1,1.0,1,2.54,1,1125,1,1,1125,1125,1.0,1125.0,298,1,strict,security_deposit_0,0,45.0,80.0
9483676,75009.0,48.877390000000005,2.3424099999999997,Opéra,1,2.0,Entire home/apt,2.0,3.0,Bed,6,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0.56,28,5,0,1.0,0,7.06,3,1125,3,3,1125,1125,3.0,1125.0,225,0,strict,security_deposit_1,0,50.0,130.0
1768627,75018.0,48.88816,2.35135,Buttes-Montmartre,0,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2.03,160,15,0,1.0,1,6.6,2,1125,2,2,1125,1125,2.0,1125.0,360,0,flexible,security_deposit_1,0,12.0,86.0
1982419,75008.0,48.87635,2.3002599999999997,Élysée,1,1.0,Entire home/apt,0.5,1.0,Bed,2,1,1,1,0,0,0,1,0,1,1,0,0,1,0,2.94,230,27,0,3.0,1,6.47,3,190,3,3,1125,1125,3.0,1125.0,365,0,strict,security_deposit_1,0,20.0,31.0
30955048,75015.0,48.8433,2.29382,Vaugirard,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0.54,9,6,0,1.0,1,1.4,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,64.0,65.0
36191185,75011.0,48.856120000000004,2.3776900000000003,Popincourt,1,1.0,Entire home/apt,2.5,1.0,Bed,2,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1.44,15,15,0,0.0,1,1.7,2,1125,2,5,1125,1125,2.2,1125.0,42,1,strict,security_deposit_1,0,45.0,80.0
5090557,75016.0,48.84156,2.2568099999999998,Passy,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0.22,13,0,1,1.0,1,7.5,7,30,7,7,30,30,7.0,30.0,316,0,strict,security_deposit_1,0,20.0,70.0
32630995,75018.0,48.892179999999996,2.3378900000000002,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.51,5,5,0,1.0,1,1.21,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,52.0,65.0
29627670,75014.0,48.82786,2.31621,Observatoire,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2.67,50,24,1,1.0,1,1.54,2,30,2,2,1125,1125,2.0,1125.0,226,1,moderate,security_deposit_n,0,,80.0
33789032,75018.0,48.89229,2.34202,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0.33,4,3,0,1.0,1,1.08,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,64.0,89.0
28123575,75002.0,48.86549,2.3428400000000003,Bourse,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1.61,33,14,1,1.0,1,1.7,3,1125,3,3,1125,1125,3.0,1125.0,180,0,flexible,security_deposit_1,0,40.0,120.0
4846955,92100.0,48.836870000000005,2.25385,Passy,1,3.0,Entire home/apt,2.0,3.0,Bed,6,1,1,1,1,1,1,1,1,0,1,1,0,1,1,,0,0,1,2.0,1,8.12,4,30,4,4,30,30,4.0,30.0,91,0,strict,security_deposit_1,0,70.0,250.0
25993740,75017.0,48.88329,2.31691,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,1.0,1,5.87,2,1125,2,2,1125,1125,2.0,1125.0,4,0,flexible,security_deposit_0,0,20.0,90.0
43055188,75007.0,48.853970000000004,2.32597,Palais-Bourbon,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,1.0,1,4.85,1,1125,1,1,1125,1125,1.0,1125.0,53,1,strict,security_deposit_0,0,0.0,179.0
28750788,75020.0,48.8677,2.39854,Ménilmontant,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0.99,18,12,0,2.0,1,5.93,2,30,2,7,30,30,4.3,30.0,364,1,flexible,security_deposit_1,0,51.0,75.0
40049445,75002.0,48.86902,2.34858,Bourse,0,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2.25,13,13,0,97.0,1,4.79,4,730,2,9,730,730,5.1,730.0,349,0,strict,security_deposit_1,1,60.0,150.0
36106223,75020.0,48.86739,2.38377,Ménilmontant,1,1.0,Entire home/apt,1.5,1.0,Bed,2,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0.36,3,3,0,1.0,0,3.35,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,51.0,99.0
37152888,75011.0,48.855779999999996,2.38726,Popincourt,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,0,0,0,0,1,,0,0,0,1.0,0,0.8,2,1125,2,5,1125,1125,4.3,1125.0,24,1,flexible,security_deposit_1,0,82.0,103.0
8448023,75116.0,48.870509999999996,2.29034,Passy,1,1.0,Entire home/apt,2.0,1.0,Bed,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.15,63,11,0,3.0,1,6.1,4,300,2,6,300,300,4.1,300.0,49,0,strict,security_deposit_0,0,75.0,165.0
29334448,75018.0,48.88475,2.3365400000000003,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.32,6,5,0,1.0,0,1.94,2,10,1,2,10,10,1.9,10.0,179,0,flexible,security_deposit_1,0,25.0,125.0
32854435,75018.0,48.88796,2.33317,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.86,11,10,0,1.0,1,1.18,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,88.0
29958560,75003.0,48.86326,2.35849,Temple,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1.89,34,19,1,1.0,1,1.5,4,25,4,4,25,25,4.0,25.0,266,0,moderate,security_deposit_0,0,50.0,190.0
23139160,94250.0,48.8175,2.3452599999999997,Gobelins,1,2.0,Entire home/apt,1.0,3.0,Bed,6,1,1,1,1,1,1,1,1,0,0,1,0,1,1,3.87,106,40,1,1.0,1,6.74,3,1125,2,10,1125,1125,3.5,1125.0,47,0,strict,security_deposit_1,0,45.0,140.0
24117882,75010.0,48.88023,2.35636,Entrepôt,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1.36,35,8,0,1.0,1,3.07,2,50,2,2,1125,1125,2.0,1125.0,103,1,moderate,security_deposit_1,0,30.0,80.0
2003446,75007.0,48.85972,2.30809,Palais-Bourbon,1,0.0,Entire home/apt,1.0,1.0,Sofa,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1.27,44,14,0,1.0,1,6.45,3,1000,3,3,1125,1125,3.0,1125.0,0,0,moderate,security_deposit_1,0,,76.0
6211678,75005.0,48.83939,2.34594,Panthéon,0,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2.03,124,16,1,1.0,1,5.04,3,1125,3,3,1125,1125,3.0,1125.0,128,1,strict,security_deposit_n,0,50.0,100.0
12960358,75007.0,48.85732,2.32912,Palais-Bourbon,0,2.0,Entire home/apt,1.5,2.0,Bed,3,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0.5,16,8,0,1.0,1,8.48,2,10,2,2,10,10,2.0,10.0,160,0,moderate,security_deposit_1,0,30.0,164.0
39293160,75019.0,48.87896,2.38885,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,0,1,0,0,1,0,1,1,1,4.43,30,30,0,1.0,1,0.59,1,1125,1,2,1125,1125,1.3,1125.0,152,0,flexible,security_deposit_1,0,73.0,105.0
37466356,75002.0,48.86874,2.34741,Bourse,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,,0,0,0,8.0,1,0.82,30,1125,30,30,1125,1125,30.0,1125.0,344,0,strict,security_deposit_1,1,60.0,100.0
297658,75017.0,48.88715,2.29575,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0.04,3,0,0,3.0,0,8.39,2,30,2,2,30,30,2.0,30.0,365,0,moderate,security_deposit_1,0,,245.0
30245683,75011.0,48.85589,2.38128,Popincourt,1,0.0,Entire home/apt,1.0,0.0,Bed,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1.68,28,23,0,1.0,0,1.8,2,14,2,2,14,14,2.0,14.0,288,1,flexible,security_deposit_n,0,,70.0
1067815,75005.0,48.84818,2.35141,Panthéon,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1.05,75,10,0,1.0,1,7.09,4,365,4,4,365,365,4.0,365.0,0,0,strict,security_deposit_1,0,150.0,100.0
42676832,75019.0,48.89533,2.38058,Buttes-Chaumont,1,1.0,Entire home/apt,1.5,2.0,Bed,4,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,0,0,0,0.0,1,6.35,4,1125,4,4,1125,1125,4.0,1125.0,45,1,flexible,security_deposit_1,0,89.0,110.0
29298411,75018.0,48.88776,2.36095,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0.75,14,10,0,292.0,1,7.06,3,1125,3,3,1125,1125,3.0,1125.0,0,1,strict,security_deposit_1,1,24.0,76.0
27404613,75009.0,48.8775,2.33988,Opéra,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1.12,24,19,0,1.0,1,1.79,4,1125,2,4,1125,1125,3.4,1125.0,0,0,flexible,security_deposit_1,0,64.0,80.0
22157829,75010.0,48.87433,2.36437,Entrepôt,1,0.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0.99,10,10,0,2.0,1,2.43,2,1125,2,6,1125,1125,3.4,1125.0,327,1,strict,security_deposit_1,0,39.0,76.0
753923,75017.0,48.8776,2.29429,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0.62,56,1,0,1.0,1,7.62,4,90,4,4,90,90,4.0,90.0,269,0,strict,security_deposit_1,0,40.0,130.0
30395240,75020.0,48.86971,2.3852900000000004,Ménilmontant,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0.74,13,6,0,1.0,1,1.45,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,52.0,59.0
21722950,75016.0,48.85586,2.28419,Passy,1,0.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1.99,56,26,0,94.0,1,3.3,1,1125,1,1,1,1125,1.0,43.2,360,1,strict,security_deposit_1,1,50.0,97.0
28042204,75017.0,48.888000000000005,2.3209299999999997,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1.08,20,12,1,1.0,1,6.8,2,1125,2,2,1125,1125,2.0,1125.0,0,1,moderate,security_deposit_n,0,,80.0
37312354,75017.0,48.884679999999996,2.32016,Batignolles-Monceau,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0.69,6,6,0,1.0,1,0.78,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,45.0,48.0
13450123,75003.0,48.85844,2.36479,Temple,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0.13,6,1,0,0.0,1,3.95,7,14,7,7,14,14,7.0,14.0,15,1,flexible,security_deposit_1,0,30.0,130.0
36671356,75017.0,48.87893,2.28776,Batignolles-Monceau,1,3.0,Entire home/apt,2.0,3.0,Bed,5,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0.11,1,1,0,1.0,0,0.84,3,1125,3,7,1125,1125,4.6,1125.0,0,1,flexible,security_deposit_1,0,109.0,180.0
26081110,75011.0,48.86395,2.37246,Popincourt,1,1.0,Private room,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1.32,28,15,0,1.0,1,4.84,2,20,2,2,1125,1125,2.0,1125.0,10,1,moderate,security_deposit_n,0,,80.0
13780542,75005.0,48.848659999999995,2.3536099999999998,Panthéon,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1.02,46,20,1,4.0,1,5.29,4,14,4,4,14,14,4.0,14.0,262,0,strict,security_deposit_1,0,82.0,90.0
42557820,75003.0,48.865,2.35964,Temple,1,5.0,Entire home/apt,2.5,5.0,Bed,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1.0,1,0.21,2,1125,2,2,1125,1125,2.0,1125.0,118,1,moderate,security_deposit_0,0,100.0,250.0
40955706,75014.0,48.82846,2.32626,Observatoire,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.73,3,3,0,1.0,0,0.4,2,1125,2,2,1125,1125,2.0,1125.0,91,0,strict,security_deposit_n,0,,90.0
25498350,75019.0,48.87679,2.3781,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1.2,28,9,0,1.0,1,7.03,2,15,2,2,15,15,2.0,15.0,0,0,moderate,security_deposit_1,0,0.0,85.0
